tokenId, hat, fur, clothes, eyes, earring, mouth, background
115,3,5,0,4,0,16,0
116,22,5,19,0,0,19,0
117,11,4,0,1,4,0,7
118,0,7,0,7,4,3,2
119,0,15,10,16,0,0,1
120,0,12,0,3,0,0,5
121,5,0,0,5,0,0,2
122,0,2,29,3,0,2,6
123,22,0,30,1,0,22,1
124,15,0,0,3,0,5,7
125,4,0,29,8,0,5,3
126,25,1,18,6,0,5,1
127,26,5,0,3,0,5,5
128,8,1,7,20,5,2,3
129,2,12,0,0,0,0,7
130,9,2,40,0,0,5,2
131,5,8,33,1,0,0,0
132,7,4,0,0,0,11,5
133,10,0,38,13,0,0,7
134,0,2,38,0,0,9,2
135,18,13,5,14,4,2,4
136,11,9,26,0,0,17,1
137,0,9,18,8,0,14,0
138,5,2,0,3,2,0,5
139,7,0,0,2,4,12,5
140,0,3,20,6,0,1,4
141,9,6,0,9,0,2,7
142,15,1,0,15,0,0,7
143,14,8,41,8,5,3,1
144,1,2,42,8,0,11,6
145,0,1,36,1,0,6,3
146,5,10,0,5,0,0,6
147,9,1,14,7,5,1,2
148,0,0,0,0,0,1,5
149,2,7,22,1,1,4,6
150,11,14,0,2,0,12,6
151,18,7,41,5,0,2,6
152,2,4,25,11,0,12,0
153,20,15,17,0,0,6,5
154,36,11,8,1,0,9,0
155,3,0,8,12,0,3,0
156,4,5,8,15,3,3,4
157,3,10,10,0,0,0,7
158,16,2,14,3,0,0,2
159,0,7,9,10,1,0,7
160,25,8,1,2,0,4,1
161,31,1,0,9,0,1,7
162,8,4,0,3,0,1,0
163,2,2,36,11,5,28,6
164,14,5,38,1,3,30,7
165,0,7,32,5,0,13,3
166,0,11,1,14,0,12,1
167,0,1,20,0,0,1,7
168,19,6,0,1,1,9,6
169,8,12,25,0,0,1,7
170,23,2,0,7,0,11,6
171,1,6,1,5,0,1,7
172,15,1,12,11,5,0,6
173,13,2,28,0,0,2,7
174,36,5,5,0,0,4,6
175,18,3,13,2,0,0,6
176,27,12,24,2,4,2,6
177,4,5,16,15,0,0,0
178,5,6,8,11,2,16,6
179,15,3,0,20,0,6,4
180,0,1,29,3,0,0,1
181,14,5,0,0,0,1,3
182,0,5,0,11,1,1,7
183,10,0,2,3,0,3,4
184,0,3,0,12,0,0,7
185,15,6,0,18,0,30,7
186,3,1,23,2,0,1,3
187,10,5,4,2,0,12,2
188,3,2,38,12,0,5,6
189,0,0,5,0,0,32,4
190,2,3,25,0,0,2,5
191,0,0,0,7,0,30,1
192,19,12,17,2,0,1,3
193,0,10,8,18,0,15,5
194,1,5,42,17,0,5,2
195,12,7,12,7,0,2,1
196,12,11,12,0,1,14,7
197,16,1,3,13,0,13,3
198,33,0,13,2,0,5,7
199,0,1,0,14,0,0,4
200,7,0,11,1,0,16,4
201,0,2,3,10,3,0,0
202,20,8,13,16,0,8,4
203,1,12,7,7,0,1,1
204,27,0,0,5,4,17,2
205,10,2,5,9,0,3,7
206,11,0,32,5,0,0,7
207,14,4,0,9,0,10,5
208,1,1,1,0,0,5,3
209,0,1,4,11,0,5,6
210,0,17,19,9,0,23,5
211,0,0,1,11,0,0,5
212,0,5,1,1,0,4,5
213,26,3,29,9,0,1,1
214,5,1,1,16,0,1,0
215,14,9,16,4,5,3,1
216,15,5,3,1,0,2,4
217,6,0,16,1,0,10,1
218,0,7,13,2,0,1,0
219,0,2,15,13,0,0,4
220,0,0,23,6,0,0,1
221,4,14,0,5,1,0,2
222,0,0,15,12,0,16,6
223,10,2,4,7,0,28,5
224,0,8,0,1,3,1,7
225,24,3,15,1,4,0,4
226,8,1,14,10,0,19,6
227,0,8,0,6,0,27,4
228,12,2,39,16,0,3,5
229,3,1,11,0,0,8,0
230,20,0,8,4,0,6,5
231,20,0,9,10,0,19,0
232,18,7,16,12,0,9,3
233,18,1,33,2,0,0,7
234,11,1,13,0,0,0,3
235,12,3,6,1,0,7,2
236,12,6,0,7,1,0,0
237,31,3,18,1,0,1,6
238,22,1,11,1,0,3,3
239,1,0,5,6,0,3,2
240,28,8,0,0,0,1,6
241,24,6,5,3,3,1,1
242,35,9,1,0,0,0,4
243,4,9,41,10,0,6,2
244,0,1,0,18,3,0,2
245,17,5,30,0,0,13,7
246,5,8,6,3,0,3,4
247,13,7,29,18,0,5,2
248,0,0,9,2,0,0,7
249,3,3,8,13,1,0,3
250,2,4,0,8,0,11,0
251,12,1,2,0,0,4,7
252,11,1,26,3,2,3,1
253,9,7,0,0,5,1,0
254,16,3,5,0,0,0,7
255,18,11,3,0,4,2,5
256,5,4,10,3,0,0,5
257,17,2,6,11,0,14,4
258,0,0,4,15,0,5,0
259,31,2,29,2,0,1,5
260,0,7,11,3,0,10,0
261,17,2,10,0,0,10,1
262,36,11,23,1,4,5,6
263,19,15,10,3,0,1,4
264,12,0,37,5,0,2,4
265,17,2,43,0,3,9,3
266,3,5,14,11,0,0,0
267,33,0,7,17,0,0,2
268,10,6,2,0,0,7,2
269,4,2,0,5,0,1,3
270,32,0,29,11,0,0,0
271,1,11,9,4,0,2,2
272,8,6,5,1,0,4,1
273,15,6,32,11,0,0,6
274,16,6,5,3,1,30,7
275,1,8,8,11,0,7,0
276,19,4,1,11,6,0,6
277,36,5,13,4,0,5,2
278,32,12,12,9,0,0,4
279,26,2,22,4,0,3,4
280,0,1,0,18,0,0,5
281,10,12,9,2,1,11,3
282,0,6,37,6,0,0,7
283,4,9,6,1,0,2,3
284,0,3,1,6,0,10,0
285,13,15,25,1,0,10,7
286,9,2,34,0,0,2,1
287,14,1,24,3,1,0,0
288,0,0,35,5,0,3,0
289,4,0,0,8,0,19,2
290,0,9,39,11,0,27,0
291,0,1,20,12,0,5,7
292,5,6,6,0,0,1,2
293,1,0,26,2,0,1,7
294,0,9,0,9,4,3,4
295,22,6,20,5,4,1,1
296,0,0,39,8,0,1,1
297,0,5,20,0,0,0,1
298,2,1,0,16,0,1,1
299,5,2,11,4,0,0,5
300,2,0,0,2,0,1,7
301,0,14,34,0,0,15,7
302,30,11,13,0,0,0,1
303,6,1,3,0,0,0,5
304,24,5,37,19,0,23,1
305,3,1,3,3,0,0,6
306,15,3,0,1,0,1,3
307,2,1,27,15,0,13,6
308,0,7,8,1,0,3,1
309,4,0,7,7,0,1,0
310,16,12,17,3,0,1,2
311,2,4,16,1,0,0,0
312,27,1,27,18,0,12,5
313,35,5,4,2,0,15,0
314,21,1,3,5,2,7,3
315,14,1,20,18,0,25,0
316,31,12,28,8,0,0,5
317,34,3,28,0,0,10,1
318,3,9,19,13,3,8,7
319,4,0,39,10,0,0,0
320,1,1,3,11,2,16,1
321,13,2,0,3,1,0,3
322,4,16,8,2,5,2,5
323,0,0,26,3,0,0,5
324,1,0,40,0,0,1,1
325,22,2,18,0,0,11,0
326,11,6,21,0,0,6,1
327,8,7,35,6,0,17,7
328,9,1,35,4,0,3,0
329,0,5,3,1,1,4,1
330,28,3,26,7,0,27,4
331,5,1,5,0,0,3,4
332,3,0,0,6,3,15,0
333,14,2,1,2,0,1,0
334,33,4,17,18,3,0,7
335,6,5,8,0,0,6,2
336,18,10,33,0,0,4,2
337,15,15,1,0,0,13,7
338,3,1,27,2,5,3,1
339,6,10,0,2,0,5,6
340,3,0,0,12,0,8,1
341,0,4,18,1,0,2,3
342,0,5,4,3,0,12,3
343,16,3,22,16,0,0,6
344,0,7,0,6,0,5,1
345,0,7,3,10,1,0,4
346,23,1,14,3,0,1,7
347,7,9,18,2,0,0,6
348,3,6,6,4,0,5,2
349,11,9,0,1,0,0,0
350,4,0,3,7,0,31,1
351,0,8,40,8,0,1,3
352,12,7,0,9,1,0,0
353,14,10,19,0,0,5,3
354,0,1,37,5,0,8,4
355,8,2,20,2,0,5,5
356,2,1,31,3,0,1,4
357,1,8,26,0,0,0,1
358,2,8,8,8,0,1,6
359,22,1,31,8,4,3,3
360,2,1,24,2,3,0,2
361,8,3,6,3,0,0,2
362,35,11,8,0,0,1,2
363,4,12,35,1,0,11,4
364,13,2,22,18,0,12,4
365,22,0,1,18,0,0,1
366,0,0,23,0,0,1,2
367,19,5,1,8,1,15,2
368,0,1,7,2,0,13,2
369,0,6,35,0,0,32,0
370,14,14,2,7,0,12,7
371,4,15,6,9,3,8,6
372,8,2,30,0,0,4,3
373,5,10,4,16,0,1,2
374,11,1,0,3,0,7,0
375,21,0,4,13,0,14,1
376,9,0,10,6,3,9,1
377,0,12,1,0,0,0,0
378,1,1,14,8,0,16,4
379,9,10,1,14,0,3,1
380,0,1,17,18,2,1,7
381,0,5,33,8,0,2,5
382,7,3,17,13,0,28,7
383,16,2,7,1,4,0,2
384,1,6,0,0,5,0,5
385,18,3,22,8,0,1,3
386,6,1,10,1,0,1,2
387,12,9,0,7,4,0,5
388,0,2,33,4,0,1,2
389,4,1,28,1,0,0,3
390,11,4,26,8,4,13,1
391,8,9,23,14,3,21,2
392,34,3,11,2,0,2,3
393,0,0,0,3,0,5,2
394,6,7,0,8,2,1,4
395,3,4,2,12,0,0,5
396,18,5,35,10,0,18,3
397,32,4,0,7,4,4,0
398,27,3,10,8,0,0,0
399,3,14,0,3,1,1,4
400,14,2,40,2,0,4,2
401,11,3,0,0,0,10,2
402,1,0,14,20,6,2,4
403,35,4,0,10,0,0,3
404,11,1,20,2,0,1,6
405,6,8,0,5,0,23,6
406,3,1,0,0,3,7,2
407,20,2,0,10,6,3,1
408,2,7,7,12,0,27,5
409,25,1,12,7,0,16,7
410,32,9,0,2,0,13,1
411,0,2,0,9,5,0,0
412,8,10,38,20,0,8,3
413,0,11,1,0,2,15,7
414,0,3,26,20,0,5,5
415,8,7,14,11,1,1,6
416,0,0,6,4,2,9,5
417,22,3,24,0,0,15,3
418,14,7,33,7,0,0,2
419,17,3,4,2,0,17,0
420,14,0,37,13,3,0,6
421,1,13,41,22,0,1,5
422,5,1,4,1,1,3,2
423,1,5,14,0,0,0,0
424,33,15,10,0,0,20,3
425,3,0,12,1,0,0,5
426,29,7,7,8,0,3,5
427,2,6,5,2,0,9,6
428,8,1,33,19,0,5,5
429,29,4,0,19,3,2,5
430,16,3,11,13,0,1,4
431,12,0,2,6,0,22,4
432,10,10,6,5,6,11,2
433,30,15,4,9,0,3,4
434,0,6,0,20,0,9,1
435,10,2,0,19,0,1,5
436,0,13,0,20,3,0,3
437,0,5,0,1,0,14,7
438,0,6,3,6,0,0,2
439,16,3,26,0,0,11,7
440,0,2,13,0,3,6,5
441,9,2,5,6,0,15,6
442,5,13,9,6,0,22,2
443,11,7,22,8,0,4,4
444,24,0,15,4,0,0,0
445,0,11,14,2,0,2,5
446,1,5,0,0,0,18,1
447,0,8,1,13,2,5,5
448,13,4,9,0,2,29,3
449,0,2,18,1,0,14,7
450,0,6,23,0,2,2,4
451,0,12,0,0,1,20,3
452,0,2,25,11,0,4,5
453,24,2,8,5,1,4,5
454,3,1,0,5,2,0,4
455,4,13,9,2,0,7,2
456,7,5,19,0,0,1,5
457,11,1,16,18,4,8,6
458,0,9,5,11,1,5,7
459,1,2,1,6,2,7,0
460,11,4,29,10,2,24,2
461,0,3,31,1,0,9,6
462,29,10,15,8,1,0,5
463,18,4,12,12,1,32,0
464,9,0,0,0,0,6,6
465,2,0,9,0,4,0,2
466,0,4,30,0,0,0,1
467,0,2,0,12,0,2,2
468,19,11,37,17,2,0,3
469,1,3,15,7,4,3,5
470,10,10,1,0,0,8,7
471,0,1,0,2,0,9,3
472,1,0,33,3,0,0,6
473,5,3,0,0,0,6,5
474,16,5,31,17,1,0,3
475,0,0,29,9,2,9,7
476,8,5,32,3,0,1,3
477,24,1,23,1,4,1,5
478,36,15,12,5,0,5,4
479,11,13,8,13,0,0,7
480,5,1,0,0,2,2,6
481,21,0,0,15,0,3,0
482,17,0,34,3,4,2,4
483,9,9,19,14,3,4,1
484,4,4,3,8,1,1,1
485,17,0,24,11,0,20,4
486,6,4,32,0,0,0,2
487,15,3,8,16,0,1,3
488,0,6,1,3,0,0,7
489,9,2,21,15,0,3,4
490,6,6,5,10,0,18,3
491,17,2,15,0,0,5,7
492,26,3,15,1,1,9,7
493,0,2,7,14,0,4,1
494,28,11,0,11,0,1,5
495,2,8,32,1,0,0,7
496,0,5,4,0,0,10,1
497,7,3,3,0,0,6,3
498,5,1,10,0,1,0,7
499,9,1,26,4,0,3,6
500,19,6,1,16,0,1,0
501,2,2,0,3,0,16,6
502,2,10,0,12,3,9,5
503,31,10,1,12,1,18,6
504,0,15,9,0,0,1,3
505,6,0,0,10,0,0,0
506,0,2,32,11,0,17,0
507,0,2,40,0,0,3,7
508,3,0,10,0,0,15,6
509,0,7,39,13,0,1,0
510,0,4,0,14,3,0,5
511,6,3,19,3,0,7,3
512,15,0,4,19,0,5,0
513,2,0,4,10,0,0,6
514,5,1,0,22,0,6,1
515,2,3,0,2,0,1,5
516,0,1,17,5,0,20,6
517,6,6,1,0,0,1,2
518,8,0,16,3,4,0,0
519,1,16,19,6,0,6,0
520,0,16,4,14,0,5,6
521,24,0,32,5,2,0,7
522,0,13,25,18,0,0,1
523,0,0,18,4,0,0,6
524,19,7,19,9,1,11,6
525,13,13,0,4,0,0,6
526,3,5,2,3,3,11,5
527,2,13,16,4,0,0,0
528,2,17,22,0,0,9,5
529,0,0,21,0,0,31,2
530,17,2,2,12,4,0,0
531,18,8,32,13,0,2,5
532,9,2,7,14,0,0,6
533,28,3,0,9,0,1,0
534,0,12,32,0,0,1,5
535,34,0,15,9,0,9,3
536,13,0,38,12,0,14,7
537,4,15,3,0,3,5,0
538,34,5,11,10,0,18,1
539,25,9,1,0,0,0,6
540,11,2,0,4,0,8,0
541,14,0,0,5,2,9,3
542,0,0,27,3,0,7,3
543,0,3,33,14,0,10,7
544,13,2,35,15,0,3,7
545,2,10,17,0,0,1,3
546,0,8,21,6,6,8,5
547,17,2,21,1,2,24,4
548,1,17,14,0,1,2,4
549,28,3,34,1,0,3,5
550,12,2,24,2,0,15,6
551,5,0,22,0,0,8,7
552,1,1,20,12,0,4,0
553,11,4,8,11,2,12,3
554,19,4,24,9,0,1,1
555,12,5,0,8,2,5,3
556,35,1,31,17,1,6,5
557,20,2,3,15,0,5,2
558,12,8,43,15,0,3,7
559,7,0,7,1,0,0,5
560,0,7,18,3,0,16,4
561,9,1,4,15,1,6,0
562,5,1,11,8,4,10,3
563,0,2,2,3,2,2,7
564,6,1,26,0,4,17,3
565,0,0,12,0,0,1,4
566,10,4,0,11,0,0,3
567,27,2,7,0,3,10,4
568,17,2,32,12,0,3,2
569,24,2,36,9,0,5,5
570,0,2,0,6,1,4,5
571,15,3,23,10,0,19,2
572,0,1,21,6,0,8,5
573,16,6,7,14,0,2,1
574,8,14,0,7,0,2,3
575,4,5,31,5,1,3,0
576,8,9,0,6,0,4,5
577,0,2,4,0,1,5,3
578,2,2,0,1,0,4,0
579,26,0,13,21,0,26,4
580,22,1,1,6,0,1,6
581,29,8,21,0,2,3,5
582,30,10,14,0,2,5,1
583,4,8,3,11,0,7,3
584,0,7,0,8,0,23,0
585,1,0,35,0,0,0,5
586,16,1,6,8,0,4,3
587,3,0,3,9,0,5,1
588,26,2,14,1,0,10,4
589,15,14,12,4,0,28,4
590,0,1,7,18,0,2,6
591,18,5,8,3,0,0,4
592,12,8,1,19,0,12,1
593,5,6,2,14,1,5,2
594,8,16,23,7,0,0,7
595,5,7,31,1,2,10,1
596,19,1,21,3,0,20,6
597,3,16,31,0,0,1,5
598,36,1,0,3,5,1,0
599,0,9,36,2,0,0,1
600,33,9,1,3,0,7,1
601,25,7,37,2,0,9,6
602,18,9,0,10,0,13,0
603,11,4,32,0,0,8,2
604,0,6,29,1,0,5,7
605,5,16,20,3,6,31,4
606,0,13,18,0,0,8,4
607,8,11,41,21,0,1,2
608,11,6,5,2,0,12,6
609,0,11,24,1,0,0,7
610,19,16,8,1,3,4,6
611,7,1,9,3,2,26,0
612,0,1,1,7,0,14,1
613,0,6,29,1,5,8,2
614,1,14,10,0,5,29,7
615,9,7,1,6,0,0,5
616,27,0,0,20,0,10,2
617,11,7,2,3,0,24,4
618,22,1,13,5,2,4,6
619,15,0,7,2,1,1,6
620,23,4,39,0,0,3,6
621,1,4,33,6,0,2,7
622,33,5,0,4,5,0,3
623,14,17,11,2,0,0,0
624,32,2,1,1,0,1,5
625,9,2,0,16,0,3,3
626,17,2,42,10,0,14,1
627,16,9,28,6,0,21,6
628,10,10,0,1,0,7,7
629,10,0,5,1,0,31,5
630,0,7,2,9,3,0,4
631,0,0,0,8,5,0,6
632,0,5,0,4,2,0,0
633,5,14,1,13,1,0,0
634,7,1,6,20,0,11,0
635,15,6,10,0,0,1,4
636,10,4,3,14,0,1,5
637,0,0,33,0,0,1,5
638,7,1,0,18,1,2,5
639,10,1,11,22,0,7,0
640,0,2,0,1,0,0,7
641,19,2,4,13,1,0,3
642,19,1,32,5,0,1,5
643,12,1,5,0,1,0,6
644,23,9,19,8,1,0,1
645,30,9,0,6,3,26,5
646,1,9,34,16,0,4,3
647,17,3,0,6,0,0,0
648,1,3,22,0,0,2,0
649,26,12,21,15,2,0,6
650,25,1,0,5,0,6,3
651,7,1,3,14,0,13,6
652,11,6,18,3,0,2,6
653,0,7,0,3,2,3,5
654,3,3,11,0,0,0,2
655,32,0,26,6,0,0,7
656,5,10,2,1,0,0,2
657,1,1,1,12,0,0,0
658,29,13,2,6,0,3,1
659,3,1,0,3,1,12,5
660,24,2,0,8,0,9,6
661,23,9,0,1,0,5,7
662,23,3,6,21,0,11,7
663,31,4,36,5,1,0,5
664,19,13,30,7,2,0,3
665,0,5,8,10,0,0,4
666,19,0,0,10,4,8,5
667,0,3,2,2,0,0,7
668,24,2,0,2,0,13,2
669,0,3,15,4,0,25,3
670,0,3,20,6,4,4,5
671,14,8,0,2,0,0,6
672,0,1,9,20,0,14,4
673,6,1,20,0,0,6,5
674,4,4,21,17,0,0,5
675,28,3,13,16,0,3,2
676,0,0,11,3,4,12,2
677,2,16,18,11,0,0,7
678,0,1,0,12,0,11,4
679,1,7,10,0,0,29,4
680,17,2,4,0,0,1,5
681,3,0,0,6,0,8,2
682,1,0,14,15,0,0,0
683,8,13,36,0,2,6,5
684,18,0,35,5,0,0,0
685,0,8,30,4,1,19,3
686,34,3,35,6,0,2,0
687,14,3,12,0,0,11,3
688,2,0,11,19,0,0,4
689,13,6,11,3,0,13,4
690,28,0,9,1,4,0,1
691,0,16,32,4,0,3,6
692,26,11,8,0,6,1,2
693,12,0,4,1,0,16,7
694,0,11,8,2,0,0,5
695,17,14,0,3,0,3,2
696,3,17,16,8,3,16,5
697,30,0,17,0,0,0,4
698,0,0,0,5,2,1,6
699,9,6,29,0,0,1,7
700,15,4,7,3,0,22,7
701,3,1,16,2,2,1,3
702,1,13,17,12,0,0,1
703,0,6,37,2,0,20,4
704,27,9,7,0,3,12,0
705,8,0,25,6,1,1,1
706,6,1,9,4,0,3,5
707,7,10,0,5,0,0,7
708,1,5,18,6,5,22,0
709,12,4,4,11,0,1,4
710,0,3,17,2,3,25,7
711,19,2,2,13,2,25,2
712,28,5,3,12,0,0,0
713,9,4,0,1,1,0,6
714,12,10,34,3,0,9,5
715,8,16,15,0,4,6,4
716,14,0,0,1,0,0,1
717,0,0,1,12,0,0,5
718,0,1,26,8,0,0,6
719,8,2,15,4,6,13,6
720,9,0,0,10,0,6,7
721,3,16,0,15,0,15,3
722,0,5,19,2,0,11,5
723,2,1,10,15,0,12,5
724,13,1,0,3,0,4,7
725,1,2,34,7,0,10,2
726,5,13,33,0,0,0,0
727,4,12,0,10,0,16,6
728,6,2,3,4,0,0,5
729,0,2,32,16,0,21,3
730,6,6,16,14,0,0,4
731,4,8,23,7,3,0,2
732,4,1,11,7,0,20,5
733,13,14,21,0,2,16,4
734,5,2,28,7,0,11,0
735,22,1,13,1,0,9,6
736,1,0,19,8,0,26,3
737,1,5,1,5,0,12,0
738,0,0,9,1,3,0,5
739,6,0,36,0,0,0,0
740,26,2,10,6,0,17,4
741,28,5,37,18,6,1,5
742,16,3,3,8,0,0,5
743,31,5,15,1,0,8,7
744,9,5,9,5,0,4,6
745,29,16,19,17,1,1,6
746,13,0,0,14,0,8,5
747,11,14,29,7,1,2,0
748,6,9,21,15,0,7,1
749,29,2,11,3,0,4,3
750,6,4,0,14,0,0,3
751,0,2,38,15,0,0,2
752,0,9,13,9,0,1,7
753,2,14,31,5,2,14,5
754,18,3,35,13,0,10,7
755,29,16,15,1,0,2,5
756,8,0,0,5,1,11,6
757,18,7,0,0,2,9,2
758,0,10,0,0,4,2,4
759,5,15,33,2,0,1,0
760,4,3,31,21,0,4,0
761,4,9,0,4,0,1,1
762,0,4,4,0,0,1,5
763,0,10,14,9,0,2,2
764,0,10,7,0,0,3,7
765,0,0,21,0,0,1,6
766,0,6,22,4,0,1,5
767,19,3,25,7,6,9,0
768,0,1,1,9,0,22,7
769,34,5,4,0,2,1,6
770,22,13,26,0,0,2,5
771,0,6,37,2,1,0,6
772,11,2,4,1,0,12,5
773,0,8,2,0,0,0,3
774,29,0,3,1,0,2,7
775,8,0,17,12,0,2,0
776,11,2,21,0,0,16,7
777,19,5,0,0,2,1,5
778,30,2,34,11,0,10,4
779,15,2,6,7,0,23,7
780,6,0,8,20,0,8,0
781,0,2,2,20,0,8,0
782,0,4,8,5,0,0,0
783,5,5,3,3,1,9,6
784,36,8,0,1,4,12,4
785,7,12,3,21,0,9,5
786,5,1,0,0,0,0,7
787,17,5,18,11,0,0,7
788,3,18,6,9,0,21,5
789,3,0,14,12,0,0,0
790,8,6,20,1,0,4,2
791,18,1,14,1,0,0,5
792,14,2,22,13,3,5,0
793,0,1,4,5,0,0,2
794,0,16,21,11,0,0,6
795,16,15,9,5,0,1,6
796,2,0,22,0,5,1,1
797,27,2,6,14,2,2,7
798,2,5,0,4,0,7,7
799,10,0,14,1,5,8,1
800,4,5,6,1,0,6,5
801,5,15,18,1,0,0,5
802,19,2,21,5,1,1,6
803,14,7,22,11,0,0,5
804,11,2,37,7,4,4,0
805,6,3,9,9,0,0,4
806,13,10,41,13,0,12,2
807,13,2,22,0,0,6,6
808,22,8,26,0,0,0,7
809,23,1,10,0,0,11,3
810,0,0,21,4,0,0,2
811,3,6,1,13,0,7,6
812,8,1,36,3,0,0,7
813,5,2,0,21,0,1,0
814,19,1,8,1,3,19,0
815,17,8,18,1,0,7,7
816,4,1,0,19,6,16,7
817,18,4,27,12,2,32,0
818,32,4,6,0,4,6,5
819,27,2,0,9,0,6,6
820,10,4,14,1,3,6,5
821,23,4,30,15,0,1,3
822,7,6,39,1,0,2,6
823,21,7,43,16,0,0,2
824,9,3,17,6,0,0,7
825,0,11,33,0,0,1,6
826,14,11,23,0,0,0,7
827,32,4,0,2,0,9,6
828,17,3,20,1,0,8,3
829,1,2,31,10,0,0,4
830,4,3,8,6,0,0,0
831,0,3,11,11,2,27,0
832,9,3,3,0,4,1,2
833,0,12,31,13,2,1,7
834,9,2,0,9,1,0,6
835,14,8,5,16,2,0,5
836,3,6,7,2,0,8,3
837,7,4,4,13,3,2,0
838,12,11,18,14,0,5,6
839,0,5,26,3,0,4,6
840,0,4,27,0,2,0,2
841,14,0,37,8,2,6,4
842,1,5,1,10,0,8,2
843,2,5,4,1,0,10,1
844,17,0,17,3,0,9,3
845,0,6,0,15,0,0,1
846,23,0,38,16,3,1,1
847,0,6,31,3,0,5,5
848,4,7,3,4,0,22,1
849,18,5,13,0,0,4,6
850,0,1,0,11,0,0,7
851,21,0,43,21,0,1,6
852,35,8,14,7,0,4,6
853,21,4,31,2,0,0,2
854,36,0,3,10,4,1,6
855,1,1,2,0,0,8,5
856,13,13,2,5,0,11,3
857,15,0,0,19,0,7,4
858,18,0,31,3,0,0,3
859,5,9,0,2,0,0,1
860,1,4,22,11,0,1,3
861,16,2,25,0,2,5,4
862,15,0,1,8,5,2,7
863,10,3,14,10,0,11,3
864,10,8,22,14,1,1,4
865,0,5,14,10,0,1,4
866,0,0,14,8,0,1,0
867,11,3,13,4,0,11,6
868,0,0,12,4,0,17,4
869,8,9,31,0,0,11,1
870,3,2,19,7,0,1,3
871,0,3,5,7,0,5,0
